"filename", "language", "Vue", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\App.vue", "Vue", 96, 0, 0, 0, 0, 4, 12, 112
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\api\index.js", "JavaScript", 0, 509, 0, 0, 0, 20, 25, 554
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\api\path.js", "JavaScript", 0, 57, 0, 0, 0, 11, 5, 73
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_bl47ur4vedd\demo.css", "CSS", 0, 0, 435, 0, 0, 19, 86, 540
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_bl47ur4vedd\demo_index.html", "HTML", 0, 0, 0, 0, 4411, 2, 652, 5065
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_bl47ur4vedd\iconfont.css", "CSS", 0, 0, 649, 0, 0, 0, 215, 864
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_bl47ur4vedd\iconfont.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_bl47ur4vedd\iconfont.json", "JSON", 0, 0, 0, 1493, 0, 0, 1, 1494
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\font\font.css", "CSS", 0, 0, 8, 0, 0, 0, 0, 8
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\icons\icons.css", "CSS", 0, 0, 1, 0, 0, 0, 1, 2
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\BreadCrumbs.vue", "Vue", 41, 0, 0, 0, 0, 0, 4, 45
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\ContainerProgress.vue", "Vue", 35, 0, 0, 0, 0, 1, 3, 39
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\DamagedPartsDetailedStatus.vue", "Vue", 92, 0, 0, 0, 0, 2, 4, 98
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\DamagedPartsStatus.vue", "Vue", 101, 0, 0, 0, 0, 3, 5, 109
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\DashBoardTransferAsideCard.vue", "Vue", 104, 0, 0, 0, 0, 0, 11, 115
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\DashBoardTransferHeaderCard.vue", "Vue", 89, 0, 0, 0, 0, 0, 9, 98
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\FinanceRevenueChart.vue", "Vue", 107, 0, 0, 0, 0, 2, 5, 114
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\FinanceStatisticsCard.vue", "Vue", 88, 0, 0, 0, 0, 0, 9, 97
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\HelloWorld.vue", "Vue", 28, 0, 0, 0, 0, 1, 4, 33
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\LastMonthProfitChart.vue", "Vue", 146, 0, 0, 0, 0, 6, 6, 158
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\MessageCard.vue", "Vue", 149, 0, 0, 0, 0, 7, 10, 166
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\MessageList.vue", "Vue", 104, 0, 0, 0, 0, 2, 4, 110
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\PartStatusProgress.vue", "Vue", 28, 0, 0, 0, 0, 0, 2, 30
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\ReturnIcon.vue", "Vue", 45, 0, 0, 0, 0, 0, 1, 46
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\StationRobotDashboardProgress.vue", "Vue", 34, 0, 0, 0, 0, 2, 5, 41
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\StatisticsHeaderCard.vue", "Vue", 89, 0, 0, 0, 0, 0, 9, 98
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\SystemMessage.vue", "Vue", 20, 0, 0, 0, 0, 0, 3, 23
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\SystemMessageList.vue", "Vue", 20, 0, 0, 0, 0, 0, 3, 23
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\ThisWeekOrderCircle.vue", "Vue", 158, 0, 0, 0, 0, 3, 6, 167
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\TransferCard.vue", "Vue", 127, 0, 0, 0, 0, 0, 17, 144
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\UserDistributionFrequencyChart.vue", "Vue", 139, 0, 0, 0, 0, 1, 5, 145
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\WeekFinanceChart.vue", "Vue", 124, 0, 0, 0, 0, 2, 5, 131
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\YearUserGrowthChart.vue", "Vue", 118, 0, 0, 0, 0, 2, 4, 124
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\YearUserLossChart.vue", "Vue", 94, 0, 0, 0, 0, 2, 4, 100
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\common\MyFooter.vue", "Vue", 23, 0, 0, 0, 0, 0, 2, 25
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\common\MyHeader.vue", "Vue", 35, 0, 0, 0, 0, 0, 1, 36
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\common\MyMenu.vue", "Vue", 88, 0, 0, 0, 0, 1, 1, 90
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\filter\FormFilter.vue", "Vue", 83, 0, 0, 0, 0, 0, 0, 83
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\ContainerForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\OrderForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\RevenueForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\RobotForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\StationForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\UserForm.vue", "Vue", 79, 0, 0, 0, 0, 1, 9, 89
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\interest\SpinButton.vue", "Vue", 74, 0, 0, 0, 0, 0, 4, 78
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\interest\SpinIcon.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\interest\SpinPicture.vue", "Vue", 230, 0, 0, 0, 0, 0, 27, 257
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\main.js", "JavaScript", 0, 35, 0, 0, 0, 11, 8, 54
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\router\index.js", "JavaScript", 0, 184, 0, 0, 0, 5, 4, 193
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\store\index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 2, 15
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\styles\blockstyles.css", "CSS", 0, 0, 239, 0, 0, 8, 7, 254
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\styles\filterstyle.css", "CSS", 0, 0, 74, 0, 0, 0, 0, 74
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\utils\request.js", "JavaScript", 0, 39, 0, 0, 0, 3, 4, 46
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\AboutView.vue", "Vue", 82, 0, 0, 0, 0, 2, 6, 90
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\HomeView.vue", "Vue", 82, 0, 0, 0, 0, 0, 0, 82
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\AboutUsView.vue", "Vue", 21, 0, 0, 0, 0, 0, 2, 23
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\AddMarketingActivity.vue", "Vue", 439, 0, 0, 0, 0, 28, 26, 493
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\DashBoardView.vue", "Vue", 203, 0, 0, 0, 0, 4, 4, 211
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\FinanceManagementView.vue", "Vue", 188, 0, 0, 0, 0, 9, 5, 202
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\FinanceStatisticsView.vue", "Vue", 141, 0, 0, 0, 0, 0, 3, 144
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\HistoryOrderManagementView.vue", "Vue", 191, 0, 0, 0, 0, 24, 6, 221
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\MarketingManagementVIew.vue", "Vue", 407, 0, 0, 0, 0, 6, 17, 430
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\OrderDetailedInformationView.vue", "Vue", 21, 0, 0, 0, 0, 0, 2, 23
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\OrderManagementView.vue", "Vue", 181, 0, 0, 0, 0, 10, 5, 196
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\PersonalInformationEditionView.vue", "Vue", 634, 0, 0, 0, 0, 38, 40, 712
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\RobotMaintenanceView.vue", "Vue", 266, 0, 0, 0, 0, 5, 2, 273
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\RobotManagementView.vue", "Vue", 248, 0, 0, 0, 0, 25, 6, 279
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\RobotPartsWarehouseView.vue", "Vue", 668, 0, 0, 0, 0, 25, 32, 725
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\RobotRealTimeRouteView.vue", "Vue", 57, 0, 0, 0, 0, 0, 2, 59
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\RobotRealTimeStateView.vue", "Vue", 268, 0, 0, 0, 0, 7, 13, 288
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\StationContainerManagementView.vue", "Vue", 619, 0, 0, 0, 0, 11, 11, 641
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\StationDistributionView.vue", "Vue", 345, 0, 0, 0, 0, 41, 7, 393
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\StationManagementView.vue", "Vue", 226, 0, 0, 0, 0, 14, 6, 246
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\UserDetailedInformationView.vue", "Vue", 457, 0, 0, 0, 0, 28, 4, 489
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\UserManagementView.vue", "Vue", 271, 0, 0, 0, 0, 23, 5, 299
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\UserRegisterView.vue", "Vue", 21, 0, 0, 0, 0, 0, 2, 23
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\UserStatisticsView.vue", "Vue", 121, 0, 0, 0, 0, 0, 1, 122
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\layout\AdminLayoutView.vue", "Vue", 393, 0, 0, 0, 0, 14, 14, 421
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\login\LoginView.vue", "Vue", 193, 0, 0, 0, 0, 10, 7, 210
"Total", "-", 9531, 838, 1406, 1493, 4411, 445, 1438, 19562